country,network_type,brand,total_tests,avg_d_mbps,n_asn,label,share_pct
cambodia,broadband,ANGKOR DATA COMMUNICATION (AS38235),30231.0,31.009669203163355,1.0,ANGKOR DATA COMMUNICATION (AS38235),11.463207468470586
cambodia,cellular,Smart,35809.0,23.896425478969945,1.0,Smart,22.78274036748613
indonesia,broadband,Biznet,7101177.0,43.32841631661272,1.0,Biznet,5.249971288895488
indonesia,cellular,Telkomsel,23434719.0,25.47299360681798,1.0,Telkomsel,43.52095164776366
laos,broadband,Unitel,18926.0,42.70013463265776,1.0,Unitel,48.83246897334675
laos,cellular,Unitel,13928.0,22.243260428018573,1.0,Unitel,50.496700746863894
malaysia,broadband,TIME dotCom,292622.0,196.26814204272813,1.0,TIME dotCom,13.208647537986677
malaysia,cellular,Maxis,311046.0,52.57894789748123,1.0,Maxis,27.081884028317717
myanmar,broadband,"Global Technology Co., Ltd. (AS133384)",60696.0,22.909319663797007,1.0,"Global Technology Co., Ltd. (AS133384)",6.41597948442569
myanmar,cellular,Nine Communications Company  (AS132167),49235.0,26.648871013845802,1.0,Nine Communications Company  (AS132167),25.906204124156147
philippines,broadband,Globe,12521569.0,90.00061236665704,2.0,Globe (2.0 ASN),11.920818289430503
philippines,cellular,DITO,3720616.0,31.166733581110844,1.0,DITO,9.135728581779631
singapore,broadband,MyRepublic Ltd. (AS56300),749396.0,300.2225293833505,1.0,MyRepublic Ltd. (AS56300),7.421273082916681
singapore,cellular,SINGTEL MOBILE INTERNET SERV (AS45143),841324.0,103.82743838142939,1.0,SINGTEL MOBILE INTERNET SERV (AS45143),37.287011832405135
thailand,broadband,AIS,4624570.0,125.86209641795982,4.0,AIS (4.0 ASN),23.13270106074672
thailand,cellular,AIS,5056551.0,29.36772665158832,3.0,AIS (3.0 ASN),34.132559764284196
vietnam,broadband,Viettel,4370059.0,70.9760728344497,2.0,Viettel (2.0 ASN),38.95170348117459
vietnam,cellular,Viettel,196486.0,39.44232684111556,1.0,Viettel,33.5454902429447
